STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,layer
11,1,2201,11001002201,22.01,Census Tract 22.01,G5020,S,415170,0,38.9491337,-77.0232932,tl_2010_11_tract10
11,1,2202,11001002202,22.02,Census Tract 22.02,G5020,S,694961,566,38.9479671,-77.0118568,tl_2010_11_tract10
11,1,2301,11001002301,23.01,Census Tract 23.01,G5020,S,412610,0,38.9425896,-77.0165738,tl_2010_11_tract10
11,1,2302,11001002302,23.02,Census Tract 23.02,G5020,S,2010128,5298,38.9341104,-77.0091127,tl_2010_11_tract10
11,1,2400,11001002400,24,Census Tract 24,G5020,S,556361,0,38.9417826,-77.0224057,tl_2010_11_tract10
11,1,2501,11001002501,25.01,Census Tract 25.01,G5020,S,543460,0,38.9446515,-77.0317348,tl_2010_11_tract10
11,1,2502,11001002502,25.02,Census Tract 25.02,G5020,S,604505,0,38.9390531,-77.0301378,tl_2010_11_tract10
11,1,2600,11001002600,26,Census Tract 26,G5020,S,2112648,103829,38.9464443,-77.0404492,tl_2010_11_tract10
11,1,2701,11001002701,27.01,Census Tract 27.01,G5020,S,451448,0,38.9344558,-77.0416617,tl_2010_11_tract10
11,1,2702,11001002702,27.02,Census Tract 27.02,G5020,S,488089,16379,38.930168,-77.0421774,tl_2010_11_tract10
11,1,2801,11001002801,28.01,Census Tract 28.01,G5020,S,171911,0,38.9349477,-77.0345166,tl_2010_11_tract10
11,1,2802,11001002802,28.02,Census Tract 28.02,G5020,S,229968,0,38.9294302,-77.0346297,tl_2010_11_tract10
11,1,2900,11001002900,29,Census Tract 29,G5020,S,302154,0,38.9338466,-77.0298981,tl_2010_11_tract10
11,1,3000,11001003000,30,Census Tract 30,G5020,S,209673,0,38.9288766,-77.0299411,tl_2010_11_tract10
11,1,3100,11001003100,31,Census Tract 31,G5020,S,294805,0,38.9305897,-77.0254222,tl_2010_11_tract10
11,1,3200,11001003200,32,Census Tract 32,G5020,S,444898,0,38.9322677,-77.0211715,tl_2010_11_tract10
11,1,3301,11001003301,33.01,Census Tract 33.01,G5020,S,439657,0,38.9204185,-77.0114617,tl_2010_11_tract10
11,1,3302,11001003302,33.02,Census Tract 33.02,G5020,S,198630,0,38.9138878,-77.0111867,tl_2010_11_tract10
11,1,3400,11001003400,34,Census Tract 34,G5020,S,917944,159593,38.9216379,-77.0154973,tl_2010_11_tract10
11,1,3500,11001003500,35,Census Tract 35,G5020,S,381867,0,38.9223787,-77.0243413,tl_2010_11_tract10
11,1,3600,11001003600,36,Census Tract 36,G5020,S,305552,0,38.9236739,-77.0296267,tl_2010_11_tract10
11,1,3700,11001003700,37,Census Tract 37,G5020,S,292983,0,38.9228678,-77.0343296,tl_2010_11_tract10
11,1,3800,11001003800,38,Census Tract 38,G5020,S,355843,0,38.9216314,-77.0391808,tl_2010_11_tract10
11,1,3900,11001003900,39,Census Tract 39,G5020,S,380082,20933,38.9249705,-77.0439028,tl_2010_11_tract10
11,1,4001,11001004001,40.01,Census Tract 40.01,G5020,S,271166,4697,38.9208738,-77.0462674,tl_2010_11_tract10
11,1,4002,11001004002,40.02,Census Tract 40.02,G5020,S,196096,0,38.9180992,-77.0437382,tl_2010_11_tract10
11,1,4100,11001004100,41,Census Tract 41,G5020,S,787700,29312,38.9159337,-77.0516151,tl_2010_11_tract10
11,1,4201,11001004201,42.01,Census Tract 42.01,G5020,S,204528,0,38.9162076,-77.0388456,tl_2010_11_tract10
