STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,layer
34,17,32400,34017032400,324,Census Tract 324,G5020,S,339545,0,40.7928438,-74.0134817,tl_2010_34_tract10
34,17,10100,34017010100,101,Census Tract 101,G5020,S,1055065,1065695,40.6915587,-74.1109135,tl_2010_34_tract10
34,17,10200,34017010200,102,Census Tract 102,G5020,S,293623,0,40.6821027,-74.1045734,tl_2010_34_tract10
34,17,10300,34017010300,103,Census Tract 103,G5020,S,970562,800475,40.6724389,-74.0810163,tl_2010_34_tract10
34,17,10400,34017010400,104,Census Tract 104,G5020,S,2214256,1567536,40.6705993,-74.0899401,tl_2010_34_tract10
34,17,10500,34017010500,105,Census Tract 105,G5020,S,981967,1371912,40.6828016,-74.1144977,tl_2010_34_tract10
34,17,10600,34017010600,106,Census Tract 106,G5020,S,678814,1083491,40.6703152,-74.126465,tl_2010_34_tract10
34,17,10700,34017010700,107,Census Tract 107,G5020,S,384169,0,40.668187,-74.1139605,tl_2010_34_tract10
34,17,10800,34017010800,108,Census Tract 108,G5020,S,4524225,3940491,40.6620572,-74.0966475,tl_2010_34_tract10
34,17,10900,34017010900,109,Census Tract 109,G5020,S,284774,0,40.6611585,-74.1183391,tl_2010_34_tract10
34,17,11000,34017011000,110,Census Tract 110,G5020,S,202987,0,40.6628838,-74.1207906,tl_2010_34_tract10
34,17,11100,34017011100,111,Census Tract 111,G5020,S,287713,313189,40.6647321,-74.1276411,tl_2010_34_tract10
34,17,11200,34017011200,112,Census Tract 112,G5020,S,839899,1758888,40.6568214,-74.1372808,tl_2010_34_tract10
34,17,11300,34017011300,113,Census Tract 113,G5020,S,284188,0,40.6567503,-74.124649,tl_2010_34_tract10
34,17,11400,34017011400,114,Census Tract 114,G5020,S,610270,41350,40.649241,-74.1248445,tl_2010_34_tract10
34,17,11500,34017011500,115,Census Tract 115,G5020,S,959138,1505208,40.6480992,-74.1425616,tl_2010_34_tract10
34,17,11600,34017011600,116,Census Tract 116,G5020,S,461256,221254,40.6454191,-74.1338113,tl_2010_34_tract10
34,17,2000,34017002000,20,Census Tract 20,G5020,S,308583,0,40.7307656,-74.0655913,tl_2010_34_tract10
34,17,2200,34017002200,22,Census Tract 22,G5020,S,149351,0,40.7253929,-74.050373,tl_2010_34_tract10
34,17,2300,34017002300,23,Census Tract 23,G5020,S,144800,0,40.7235905,-74.0476909,tl_2010_34_tract10
34,17,2400,34017002400,24,Census Tract 24,G5020,S,159731,0,40.7265796,-74.0452694,tl_2010_34_tract10
34,17,2700,34017002700,27,Census Tract 27,G5020,S,1092629,61353,40.7313836,-74.0786266,tl_2010_34_tract10
34,17,2800,34017002800,28,Census Tract 28,G5020,S,295968,0,40.7266459,-74.0731508,tl_2010_34_tract10
34,17,2900,34017002900,29,Census Tract 29,G5020,S,204439,0,40.7281629,-74.0694432,tl_2010_34_tract10
34,17,3000,34017003000,30,Census Tract 30,G5020,S,246254,0,40.7241317,-74.0670989,tl_2010_34_tract10
34,17,3100,34017003100,31,Census Tract 31,G5020,S,260420,0,40.7226117,-74.0641654,tl_2010_34_tract10
34,17,3500,34017003500,35,Census Tract 35,G5020,S,89372,0,40.7198114,-74.0489344,tl_2010_34_tract10
34,17,4000,34017004000,40,Census Tract 40,G5020,S,1564556,183562,40.7290916,-74.0915756,tl_2010_34_tract10
34,17,4101,34017004101,41.01,Census Tract 41.01,G5020,S,377047,0,40.7219777,-74.07621,tl_2010_34_tract10
34,17,4102,34017004102,41.02,Census Tract 41.02,G5020,S,237077,0,40.7197038,-74.0710178,tl_2010_34_tract10
34,17,4200,34017004200,42,Census Tract 42,G5020,S,297682,0,40.7178344,-74.0795515,tl_2010_34_tract10
34,17,4300,34017004300,43,Census Tract 43,G5020,S,220217,0,40.716454,-74.0709263,tl_2010_34_tract10
34,17,4400,34017004400,44,Census Tract 44,G5020,S,161414,0,40.714421,-74.0765644,tl_2010_34_tract10
34,17,4500,34017004500,45,Census Tract 45,G5020,S,388077,0,40.7112773,-74.0724571,tl_2010_34_tract10
34,17,4600,34017004600,46,Census Tract 46,G5020,S,459148,0,40.7102178,-74.0675922,tl_2010_34_tract10
34,17,4700,34017004700,47,Census Tract 47,G5020,S,886317,0,40.7084734,-74.0626134,tl_2010_34_tract10
34,17,4800,34017004800,48,Census Tract 48,G5020,S,942577,305932,40.7205437,-74.0956093,tl_2010_34_tract10
34,17,4900,34017004900,49,Census Tract 49,G5020,S,369552,0,40.7137145,-74.0849328,tl_2010_34_tract10
34,17,5200,34017005200,52,Census Tract 52,G5020,S,376353,0,40.7089087,-74.085223,tl_2010_34_tract10
34,17,5300,34017005300,53,Census Tract 53,G5020,S,385161,0,40.7041086,-74.0756864,tl_2010_34_tract10
34,17,5400,34017005400,54,Census Tract 54,G5020,S,1476092,1427099,40.7085963,-74.1042248,tl_2010_34_tract10
34,17,5500,34017005500,55,Census Tract 55,G5020,S,216661,0,40.7043624,-74.0834033,tl_2010_34_tract10
34,17,5600,34017005600,56,Census Tract 56,G5020,S,231843,0,40.7059678,-74.091362,tl_2010_34_tract10
34,17,5801,34017005801,58.01,Census Tract 58.01,G5020,S,448245,0,40.7000594,-74.0826251,tl_2010_34_tract10
34,17,5802,34017005802,58.02,Census Tract 58.02,G5020,S,4946750,7791918,40.6870152,-74.0707705,tl_2010_34_tract10
34,17,5900,34017005900,59,Census Tract 59,G5020,S,621763,0,40.7029458,-74.0960032,tl_2010_34_tract10
34,17,6000,34017006000,60,Census Tract 60,G5020,S,380902,0,40.6987682,-74.089415,tl_2010_34_tract10
34,17,6100,34017006100,61,Census Tract 61,G5020,S,781976,0,40.6943499,-74.100055,tl_2010_34_tract10
34,17,6200,34017006200,62,Census Tract 62,G5020,S,269036,0,40.6960285,-74.0948277,tl_2010_34_tract10
34,17,6300,34017006300,63,Census Tract 63,G5020,S,676572,0,40.6909074,-74.0921846,tl_2010_34_tract10
34,17,13400,34017013400,134,Census Tract 134,G5020,S,264809,54750,40.7519651,-74.1622016,tl_2010_34_tract10
34,17,13500,34017013500,135,Census Tract 135,G5020,S,535356,9100,40.7505658,-74.1506291,tl_2010_34_tract10
34,17,13600,34017013600,136,Census Tract 136,G5020,S,132931,0,40.748223,-74.1565371,tl_2010_34_tract10
34,17,13700,34017013700,137,Census Tract 137,G5020,S,202786,18188,40.7472098,-74.162337,tl_2010_34_tract10
34,17,14200,34017014200,142,Census Tract 142,G5020,S,332818,0,40.7962258,-74.0046962,tl_2010_34_tract10
34,17,14300,34017014300,143,Census Tract 143,G5020,S,400071,0,40.8013623,-74.0100882,tl_2010_34_tract10
34,17,15100,34017015100,151,Census Tract 151,G5020,S,178469,0,40.7962219,-74.012517,tl_2010_34_tract10
34,17,13800,34017013800,138,Census Tract 138,G5020,S,758499,128823,40.7397281,-74.1588123,tl_2010_34_tract10
34,17,13900,34017013900,139,Census Tract 139,G5020,S,1486840,143186,40.7386297,-74.1514529,tl_2010_34_tract10
34,17,18400,34017018400,184,Census Tract 184,G5020,S,571741,0,40.7539476,-74.0314132,tl_2010_34_tract10
34,17,18500,34017018500,185,Census Tract 185,G5020,S,360078,0,40.7484088,-74.0347138,tl_2010_34_tract10
34,17,18600,34017018600,186,Census Tract 186,G5020,S,94501,0,40.7468564,-74.0302385,tl_2010_34_tract10
34,17,18800,34017018800,188,Census Tract 188,G5020,S,166365,0,40.7421105,-74.0318012,tl_2010_34_tract10
34,17,18900,34017018900,189,Census Tract 189,G5020,S,197303,0,40.7445637,-74.0360846,tl_2010_34_tract10
34,17,19000,34017019000,190,Census Tract 190,G5020,S,220971,0,40.7425844,-74.038747,tl_2010_34_tract10
34,17,19100,34017019100,191,Census Tract 191,G5020,S,152522,0,40.7399172,-74.0371493,tl_2010_34_tract10
34,17,19200,34017019200,192,Census Tract 192,G5020,S,281243,0,40.7379085,-74.0398446,tl_2010_34_tract10
34,17,19300,34017019300,193,Census Tract 193,G5020,S,147233,0,40.7370811,-74.0319108,tl_2010_34_tract10
34,17,19400,34017019400,194,Census Tract 194,G5020,S,108405,0,40.7392323,-74.0296934,tl_2010_34_tract10
34,17,100,34017000100,1,Census Tract 1,G5020,S,515736,0,40.7560012,-74.0515293,tl_2010_34_tract10
34,17,200,34017000200,2,Census Tract 2,G5020,S,264301,0,40.7532475,-74.046918,tl_2010_34_tract10
34,17,300,34017000300,3,Census Tract 3,G5020,S,307207,0,40.7503173,-74.0425321,tl_2010_34_tract10
34,17,400,34017000400,4,Census Tract 4,G5020,S,464439,0,40.7497682,-74.0584574,tl_2010_34_tract10
34,17,500,34017000500,5,Census Tract 5,G5020,S,219021,0,40.7499137,-74.0513531,tl_2010_34_tract10
34,17,700,34017000700,7,Census Tract 7,G5020,S,230533,0,40.746148,-74.0469441,tl_2010_34_tract10
34,17,800,34017000800,8,Census Tract 8,G5020,S,332959,0,40.7440709,-74.0440174,tl_2010_34_tract10
34,17,902,34017000902,9.02,Census Tract 9.02,G5020,S,524150,0,40.7399461,-74.0623933,tl_2010_34_tract10
34,17,1000,34017001000,10,Census Tract 10,G5020,S,126592,0,40.7446435,-74.0589998,tl_2010_34_tract10
34,17,1100,34017001100,11,Census Tract 11,G5020,S,493091,47560,40.73934,-74.056213,tl_2010_34_tract10
34,17,1201,34017001201,12.01,Census Tract 12.01,G5020,S,138958,0,40.7369135,-74.0563237,tl_2010_34_tract10
34,17,1202,34017001202,12.02,Census Tract 12.02,G5020,S,227194,0,40.7321847,-74.0555208,tl_2010_34_tract10
34,17,1300,34017001300,13,Census Tract 13,G5020,S,326308,0,40.7381069,-74.0470516,tl_2010_34_tract10
34,17,1400,34017001400,14,Census Tract 14,G5020,S,235964,0,40.7344893,-74.0521281,tl_2010_34_tract10
34,17,1800,34017001800,18,Census Tract 18,G5020,S,212553,0,40.7343894,-74.0699803,tl_2010_34_tract10
34,17,1900,34017001900,19,Census Tract 19,G5020,S,231024,0,40.7333187,-74.0621589,tl_2010_34_tract10
