Unnamed: 0,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated,cluster
0,53053062000,Census Tract 620,Pierce County,WA,2000,53053062000,Census Tract 620,53053062000,2000,0.0573053278964317,-1.2116955711934894,1.091460049091772,-1.2743658608178086,1.666642253892873,-1.293615346881434,-1.2828644583578788,-0.3996851024384285,-0.0816740647670349,-0.1154121513516885,-0.1148374384754903,1.9367302018610395,-0.3039590461513087,-0.5049360177177714,-0.6987980358807109,-0.3949410695475502,4
1,53053062000,Census Tract 620, Pierce County, Washington,2012,53053062000,Census Tract 620,53053062000,2012,-0.3044394062371489,-1.0674076604667335,0.9038752670086566,-0.9029207455670264,1.4526613217840594,-1.1457673373768442,-1.1842157009550067,0.0821235977693839,-0.0688138427772517,-0.1779496908287122,-0.1276933963174633,1.9686189022863456,-0.2903018983208842,-0.5687632773814149,-0.6690752567327909,-0.3724624109492413,4
2,53053062000,Census Tract 620, Pierce County, Washington,2019,53053062000,Census Tract 620,53053062000,2019,-0.4095519038443842,-1.244859193914582,2.287432107153081,-1.2444055940071732,1.359005748675431,-1.2292822101170575,-1.0910813724299404,-0.3178212260134743,-0.3468018425927544,-0.2194953223521508,-0.1319859306117864,1.9791759423088569,-0.2852491750078713,-0.5659547887584592,-0.6655887258615484,-0.3697719123556842,4
3,53053071601,Census Tract 716.01,Pierce County,WA,2000,53053071601,Census Tract 716.01,53053071601,2000,-0.1191467335737237,-1.119597083186589,1.3343030465653083,-1.1941636800432294,1.761249751011578,-0.9916296163211872,-1.1154617898862975,-0.6041694617993499,0.3676974455232005,2.6970937015834626,0.6654281385444363,-0.3242414632163082,-0.2430077209673993,-0.5190123311588197,-0.7253048439620473,-0.3364052330628877,4
4,53053071601,Census Tract 716.01, Pierce County, Washington,2012,53053071601,Census Tract 716.01,53053071601,2012,0.0899472732820326,-1.2667148267950457,0.8347037618888188,-1.0891917882576052,1.6201578063194213,-0.8864014994965839,-1.0412366757896252,-0.7164418561492201,0.2240655567195565,2.5482827277794,0.6191439886261865,-0.2520997682412662,-0.231742764945157,-0.4941553054417408,-0.7104018114676675,-0.3103110272983008,4
5,53053071601,Census Tract 716.01, Pierce County, Washington,2019,53053071601,Census Tract 716.01,53053071601,2019,-0.1065836149329482,-1.292474625120997,0.562633869569412,-1.2347191956385082,2.883629405879118,-1.3944031231399825,-1.2210243546597257,-0.7628830530451742,0.4929959351817964,2.514166484558153,0.6241968242834385,-0.229406671704697,-0.2341957424304379,-0.4912652787524617,-0.7070444152272273,-0.3071878043514844,4
6,53053073111,Census Tract 731.11,Pierce County,WA,2000,53053073111,Census Tract 731.11,53053073111,2000,-0.3648937341637378,-0.5925719561638245,-0.544322074479288,0.2675750308441839,0.5308008559000841,0.2423465585543042,-0.6373247564086447,0.687519356410977,-0.9038237102268828,0.5571402188984265,1.4491493347640363,-0.6494835327113904,-0.5659724285038197,-0.4471923637924677,-0.0034023671194095,-0.1828405894967376,1
7,53053073111,Census Tract 731.11, Pierce County, Washington,2012,53053073111,Census Tract 731.11,53053073111,2012,-0.2964987348374339,-0.5707168900548819,-0.8103047589350745,-0.101445705953702,0.5789785039900803,-0.0169779866021899,-0.8626839218749623,0.6474270649049716,-0.5665448524550136,0.5695446445575101,1.4808485336380266,-0.6786780229869603,-0.5585414346307009,-0.4195971259661241,-0.0023324814841346,-0.1472612504321154,1
8,53053073111,Census Tract 731.11, Pierce County, Washington,2019,53053073111,Census Tract 731.11,53053073111,2019,-0.5279849622370364,-0.6042302579497083,0.059555827680632,-0.2578386915031305,0.7667905257939203,-0.2563389841512095,-0.8814684306035331,0.535240100673697,-0.7421694277618821,0.596668998640144,1.4759787015843877,-0.6947196141628084,-0.5622979053557032,-0.4184495583405191,0.00444799148016,-0.1430028056270097,1
9,53053940007,Census Tract 9400.07,Pierce County,WA,2000,53053940007,Census Tract 9400.07,53053940007,2000,-0.6927945285556462,-1.3944551126118647,2.180009408906306,-1.0358626193011338,2.1112651615653206,-1.0280761700094927,-1.3408536180245048,-0.7604855200899422,-0.7817728820548305,1.211657775711207,0.8099015121422786,0.3559047903965821,-0.2799504876887346,-0.4531090559806006,-0.7189707104962793,-0.3902427863871572,4
