STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,layer
53,53,62000,53053062000,620,Census Tract 620,G5020,S,2065337,33947,47.2293124,-122.4184094,tl_2010_53_tract10
53,53,71601,53053071601,716.01,Census Tract 716.01,G5020,S,4032408,0,47.1797628,-122.4100405,tl_2010_53_tract10
53,53,73111,53053073111,731.11,Census Tract 731.11,G5020,S,3722813,9777,47.1222606,-122.2774345,tl_2010_53_tract10
53,53,940007,53053940007,9400.07,Census Tract 9400.07,G5020,S,2496062,19583,47.232117,-122.4011947,tl_2010_53_tract10
53,53,940006,53053940006,9400.06,Census Tract 9400.06,G5020,S,1825313,0,47.2153941,-122.4012241,tl_2010_53_tract10
53,53,73116,53053073116,731.16,Census Tract 731.16,G5020,S,16086210,51408,47.022268,-122.32238,tl_2010_53_tract10
53,53,72800,53053072800,728,Census Tract 728,G5020,S,17788609,5712976,47.1023688,-122.6646903,tl_2010_53_tract10
53,53,72107,53053072107,721.07,Census Tract 721.07,G5020,S,4886687,160238,47.167782,-122.5585803,tl_2010_53_tract10
53,53,71703,53053071703,717.03,Census Tract 717.03,G5020,S,870866,50966,47.1709835,-122.463994,tl_2010_53_tract10
53,53,73113,53053073113,731.13,Census Tract 731.13,G5020,S,18494403,6944,47.0719425,-122.2649319,tl_2010_53_tract10
53,53,72506,53053072506,725.06,Census Tract 725.06,G5020,S,15310755,12251321,47.3645964,-122.5517132,tl_2010_53_tract10
53,53,71411,53053071411,714.11,Census Tract 714.11,G5020,S,3379474,0,47.0718234,-122.4088549,tl_2010_53_tract10
53,53,71410,53053071410,714.1,Census Tract 714.10,G5020,S,5863766,0,47.0857643,-122.4199422,tl_2010_53_tract10
53,53,72308,53053072308,723.08,Census Tract 723.08,G5020,S,7758469,9209648,47.2057027,-122.5747949,tl_2010_53_tract10
53,53,940010,53053940010,9400.1,Census Tract 9400.10,G5020,S,8891471,277252,47.2059953,-122.3015523,tl_2010_53_tract10
53,53,71409,53053071409,714.09,Census Tract 714.09,G5020,S,2125874,0,47.1007056,-122.4174613,tl_2010_53_tract10
53,53,73302,53053073302,733.02,Census Tract 733.02,G5020,S,2969879,104978,47.1972462,-122.2371882,tl_2010_53_tract10
53,53,71803,53053071803,718.03,Census Tract 718.03,G5020,S,4601874,0,47.1847255,-122.5078626,tl_2010_53_tract10
53,53,73115,53053073115,731.15,Census Tract 731.15,G5020,S,6850712,3197,47.0394147,-122.3483495,tl_2010_53_tract10
53,53,72106,53053072106,721.06,Census Tract 721.06,G5020,S,3402637,0,47.186136,-122.533961,tl_2010_53_tract10
53,53,72105,53053072105,721.05,Census Tract 721.05,G5020,S,4670508,15487,47.1871468,-122.553261,tl_2010_53_tract10
53,53,62600,53053062600,626,Census Tract 626,G5020,S,6947731,6314,47.2203846,-122.4773836,tl_2010_53_tract10
53,53,73200,53053073200,732,Census Tract 732,G5020,S,547849892,11770247,46.8396447,-122.1317883,tl_2010_53_tract10
53,53,72410,53053072410,724.1,Census Tract 724.10,G5020,S,13514702,24930837,47.2524317,-122.6399961,tl_2010_53_tract10
53,53,73110,53053073110,731.1,Census Tract 731.10,G5020,S,5662560,138804,47.1337449,-122.2530423,tl_2010_53_tract10
53,53,73108,53053073108,731.08,Census Tract 731.08,G5020,S,9902119,0,47.0940827,-122.3370511,tl_2010_53_tract10
53,53,71902,53053071902,719.02,Census Tract 719.02,G5020,S,6314496,2751449,47.1530137,-122.5374064,tl_2010_53_tract10
53,53,72307,53053072307,723.07,Census Tract 723.07,G5020,S,1953748,0,47.2165495,-122.5529414,tl_2010_53_tract10
53,53,72311,53053072311,723.11,Census Tract 723.11,G5020,S,2443701,6948,47.231509,-122.5321758,tl_2010_53_tract10
53,53,72109,53053072109,721.09,Census Tract 721.09,G5020,S,4061199,10540232,47.1668216,-122.6128467,tl_2010_53_tract10
53,53,72407,53053072407,724.07,Census Tract 724.07,G5020,S,5520662,4000034,47.2984272,-122.5635095,tl_2010_53_tract10
53,53,73001,53053073001,730.01,Census Tract 730.01,G5020,S,64359627,959259,46.9683597,-122.5002896,tl_2010_53_tract10
53,53,70100,53053070100,701,Census Tract 701,G5020,S,1897355141,13767066,46.9553624,-121.8157019,tl_2010_53_tract10
53,53,73006,53053073006,730.06,Census Tract 730.06,G5020,S,119019611,2753601,46.8987783,-122.4184454,tl_2010_53_tract10
53,53,70206,53053070206,702.06,Census Tract 702.06,G5020,S,38985434,419124,47.1089989,-122.091859,tl_2010_53_tract10
53,53,71506,53053071506,715.06,Census Tract 715.06,G5020,S,3932086,0,47.1216337,-122.4054248,tl_2010_53_tract10
53,53,71504,53053071504,715.04,Census Tract 715.04,G5020,S,2651532,0,47.145689,-122.4452788,tl_2010_53_tract10
53,53,70309,53053070309,703.09,Census Tract 703.09,G5020,S,11566869,21534,47.1858588,-122.1481055,tl_2010_53_tract10
53,53,63501,53053063501,635.01,Census Tract 635.01,G5020,S,1915151,6994,47.186447,-122.4512342,tl_2010_53_tract10
53,53,71901,53053071901,719.01,Census Tract 719.01,G5020,S,4157485,17400,47.1583515,-122.5177139,tl_2010_53_tract10
53,53,62900,53053062900,629,Census Tract 629,G5020,S,2981953,0,47.2003278,-122.4786272,tl_2010_53_tract10
53,53,63000,53053063000,630,Census Tract 630,G5020,S,2204913,0,47.1971869,-122.4677762,tl_2010_53_tract10
53,53,70401,53053070401,704.01,Census Tract 704.01,G5020,S,9393178,345153,47.1679233,-122.2248326,tl_2010_53_tract10
53,53,63502,53053063502,635.02,Census Tract 635.02,G5020,S,1927508,9524,47.175075,-122.4516642,tl_2010_53_tract10
53,53,72405,53053072405,724.05,Census Tract 724.05,G5020,S,12241505,14959828,47.2956531,-122.6750802,tl_2010_53_tract10
53,53,61200,53053061200,612,Census Tract 612,G5020,S,1890515,0,47.2490842,-122.4745331,tl_2010_53_tract10
53,53,73404,53053073404,734.04,Census Tract 734.04,G5020,S,6370806,32560,47.1826415,-122.3069138,tl_2010_53_tract10
53,53,73005,53053073005,730.05,Census Tract 730.05,G5020,S,53829352,74040,46.9733114,-122.3874181,tl_2010_53_tract10
53,53,72504,53053072504,725.04,Census Tract 725.04,G5020,S,15040572,7595182,47.3460517,-122.6414481,tl_2010_53_tract10
53,53,72309,53053072309,723.09,Census Tract 723.09,G5020,S,3382201,2143024,47.224826,-122.5651033,tl_2010_53_tract10
53,53,60300,53053060300,603,Census Tract 603,G5020,S,5522101,9854287,47.306805,-122.5268439,tl_2010_53_tract10
53,53,71706,53053071706,717.06,Census Tract 717.06,G5020,S,1622812,0,47.1564998,-122.4672848,tl_2010_53_tract10
53,53,71705,53053071705,717.05,Census Tract 717.05,G5020,S,2389704,0,47.1641662,-122.4433982,tl_2010_53_tract10
53,53,71704,53053071704,717.04,Census Tract 717.04,G5020,S,1352619,0,47.1638216,-122.4667714,tl_2010_53_tract10
53,53,72408,53053072408,724.08,Census Tract 724.08,G5020,S,15306485,5135914,47.2834071,-122.5809474,tl_2010_53_tract10
53,53,71403,53053071403,714.03,Census Tract 714.03,G5020,S,5125814,969981,47.1155465,-122.448987,tl_2010_53_tract10
53,53,70207,53053070207,702.07,Census Tract 702.07,G5020,S,32788419,584804,47.1508943,-122.0115296,tl_2010_53_tract10
53,53,71209,53053071209,712.09,Census Tract 712.09,G5020,S,2324686,0,47.1635255,-122.264972,tl_2010_53_tract10
53,53,72406,53053072406,724.06,Census Tract 724.06,G5020,S,16778313,13279,47.3077702,-122.6229472,tl_2010_53_tract10
53,53,61601,53053061601,616.01,Census Tract 616.01,G5020,S,761493,0,47.2542282,-122.4402346,tl_2010_53_tract10
53,53,61800,53053061800,618,Census Tract 618,G5020,S,1383217,0,47.2267887,-122.4518296,tl_2010_53_tract10
53,53,72603,53053072603,726.03,Census Tract 726.03,G5020,S,90877304,107029921,47.1876657,-122.6960086,tl_2010_53_tract10
53,53,72602,53053072602,726.02,Census Tract 726.02,G5020,S,43250535,39077147,47.3084174,-122.7610669,tl_2010_53_tract10
53,53,61500,53053061500,615,Census Tract 615,G5020,S,1171502,0,47.2621959,-122.4494502,tl_2010_53_tract10
53,53,61300,53053061300,613,Census Tract 613,G5020,S,1574643,0,47.2500153,-122.4589966,tl_2010_53_tract10
53,53,61700,53053061700,617,Census Tract 617,G5020,S,2639447,5766,47.237848,-122.4584513,tl_2010_53_tract10
53,53,70307,53053070307,703.07,Census Tract 703.07,G5020,S,28265985,552446,47.2048941,-122.128268,tl_2010_53_tract10
53,53,61602,53053061602,616.02,Census Tract 616.02,G5020,S,1057274,0,47.2401479,-122.4377427,tl_2010_53_tract10
53,53,70308,53053070308,703.08,Census Tract 703.08,G5020,S,3218747,70628,47.183932,-122.1780732,tl_2010_53_tract10
53,53,72305,53053072305,723.05,Census Tract 723.05,G5020,S,4066575,0,47.2311155,-122.5158342,tl_2010_53_tract10
53,53,62801,53053062801,628.01,Census Tract 628.01,G5020,S,3773182,12847,47.2222193,-122.4973623,tl_2010_53_tract10
53,53,71210,53053071210,712.1,Census Tract 712.10,G5020,S,8632042,50462,47.1707139,-122.24239,tl_2010_53_tract10
53,53,71307,53053071307,713.07,Census Tract 713.07,G5020,S,5202525,15994,47.1493363,-122.3334484,tl_2010_53_tract10
53,53,62802,53053062802,628.02,Census Tract 628.02,G5020,S,3001155,0,47.1940103,-122.496448,tl_2010_53_tract10
53,53,63400,53053063400,634,Census Tract 634,G5020,S,3860357,0,47.1809619,-122.4314571,tl_2010_53_tract10
53,53,72108,53053072108,721.08,Census Tract 721.08,G5020,S,3210272,977923,47.1454232,-122.5576115,tl_2010_53_tract10
53,53,71408,53053071408,714.08,Census Tract 714.08,G5020,S,2923852,0,47.1098273,-122.4204449,tl_2010_53_tract10
