,tractid,tract,county,state,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated
0,34017032400.0,Census Tract 324,Hudson County,NJ,5926.0,13955.0,17.888513513513512,27910.0,72.41379310344827,619.0,178400.0,95.90427979751496,89.69167050161067,2000.0,34017032400,Census Tract 324,34017032400,2000,0.0,0.0131926,0.2559367,0.7308707,0.0,0.0,0.0
1,34017032400.0,Census Tract 324, Hudson County, New Jersey,6699.0,16196.0,25.5500673551863,43045.0,72.2043996333639,993.0,351100.0,18.4110371075167,90.3364969801553,2012.0,34017032400,Census Tract 324,34017032400,2012,0.0,0.0131926,0.2559367,0.7308707,0.0,0.0,0.0
2,34017032400.0,Census Tract 324, Hudson County, New Jersey,6560.0,24092.0,30.0607760635811,49023.0,61.488309352518,992.0,340800.0,20.3744984395898,92.3234811165846,2019.0,34017032400,Census Tract 324,34017032400,2019,0.0,0.0131926,0.2559367,0.7308707,0.0,0.0,0.0
3,34017010100.0,Census Tract 101,Hudson County,NJ,5377.0,21263.0,10.898270411009857,42264.0,59.19165580182529,662.0,163800.0,96.5847563515202,87.46355685131195,2000.0,34017010100,Census Tract 101,34017010100,2000,0.0421277,0.1025532,0.1655319,0.16,0.5025532,0.0234042,0.0038298
4,34017010100.0,Census Tract 101, Hudson County, New Jersey,5424.0,31154.0,9.22563912560208,54413.0,44.8999046711154,954.0,354600.0,41.0043668122271,86.8312757201646,2012.0,34017010100,Census Tract 101,34017010100,2012,0.0340426,0.093617,0.1753192,0.1680851,0.5019148999999999,0.0231915,0.0038298
5,34017010100.0,Census Tract 101, Hudson County, New Jersey,7133.0,28076.0,11.5239029861208,62464.0,33.3189282627485,1269.0,319000.0,34.0280731603573,83.2430179241351,2019.0,34017010100,Census Tract 101,34017010100,2019,0.033617,0.0940426,0.1753192,0.1680851,0.5017021,0.0234043,0.0038298
6,34017010200.0,Census Tract 102,Hudson County,NJ,3068.0,22205.0,7.431551499348108,45256.0,57.68880800727935,624.0,167500.0,95.17709118311983,76.94046721929163,2000.0,34017010200,Census Tract 102,34017010200,2000,0.0,0.0,0.2171254,0.7828746,0.0,0.0,0.0
7,34017010200.0,Census Tract 102, Hudson County, New Jersey,3027.0,28859.0,11.8268913115296,51824.0,47.250229147571,938.0,333800.0,48.8132911392405,68.1310498883098,2012.0,34017010200,Census Tract 102,34017010200,2012,0.0,0.0,0.2171254,0.7828746,0.0,0.0,0.0
8,34017010200.0,Census Tract 102, Hudson County, New Jersey,2908.0,40958.0,8.39064649243466,83750.0,36.544696618805,1219.0,378600.0,42.6258992805755,85.8144972720187,2019.0,34017010200,Census Tract 102,34017010200,2019,0.0,0.0,0.2171254,0.7828746,0.0,0.0,0.0
9,34017010300.0,Census Tract 103,Hudson County,NJ,2814.0,23283.0,7.700534759358289,42350.0,58.7430309173847,610.0,166300.0,94.35483870967742,75.7258064516129,2000.0,34017010300,Census Tract 103,34017010300,2000,0.0212903,0.0645161,0.3387097,0.3741935,0.2006451,0.0006452,0.0
10,34017010300.0,Census Tract 103, Hudson County, New Jersey,2839.0,25746.0,15.0757308911589,39891.0,47.5103734439834,933.0,337500.0,43.9144736842105,72.1324717285945,2012.0,34017010300,Census Tract 103,34017010300,2012,0.0109677,0.0464516,0.3490323,0.3922581,0.2006451,0.0006452,0.0
11,34017010300.0,Census Tract 103, Hudson County, New Jersey,3147.0,27239.0,27.7089291388624,43079.0,51.6314779270633,1030.0,292800.0,28.0839895013123,84.2188739095956,2019.0,34017010300,Census Tract 103,34017010300,2019,0.0077419,0.0470968,0.3509677,0.3929032,0.2006451,0.0006452,0.0
12,34017010400.0,Census Tract 104,Hudson County,NJ,3706.0,24322.0,5.785347391186807,42083.0,56.46309479205694,668.0,163100.0,92.80190362879239,70.37477691850088,2000.0,34017010400,Census Tract 104,34017010400,2000,0.0519895,0.1382515,0.3531804,0.1884984,0.2436828,0.0243973,0.0
13,34017010400.0,Census Tract 104, Hudson County, New Jersey,5056.0,36692.0,4.84572784810127,83510.0,38.4051597771914,1124.0,355400.0,46.2412114656571,63.8598326359833,2012.0,34017010400,Census Tract 104,34017010400,2012,0.0371769,0.1057218,0.3703166,0.2343886,0.2436828,0.0087133,0.0
14,34017010400.0,Census Tract 104, Hudson County, New Jersey,4184.0,40611.0,10.8554996405464,77639.0,35.5478589420655,1443.0,369100.0,40.9356725146199,81.5884476534296,2019.0,34017010400,Census Tract 104,34017010400,2019,0.0351438,0.1068835,0.3714783,0.2343886,0.2436828,0.0084229,0.0
15,34017010500.0,Census Tract 105,Hudson County,NJ,5270.0,26800.0,6.385404789053592,51050.0,43.33072304881232,617.0,187900.0,95.84745762711864,75.29661016949153,2000.0,34017010500,Census Tract 105,34017010500,2000,0.0677901,0.0624282,0.1409422,0.1091536,0.5928762999999999,0.0199157,0.0068939
16,34017010500.0,Census Tract 105, Hudson County, New Jersey,4901.0,39192.0,7.6278118609407,64419.0,44.1483516483516,968.0,341000.0,51.3676402410756,68.631669535284,2012.0,34017010500,Census Tract 105,34017010500,2012,0.0662581,0.0624282,0.1443891,0.1099196,0.5901954,0.0199157,0.0068939
17,34017010500.0,Census Tract 105, Hudson County, New Jersey,5503.0,47373.0,7.64040846097739,92883.0,28.6502644286043,1323.0,343800.0,51.1932615816565,74.0806380150643,2019.0,34017010500,Census Tract 105,34017010500,2019,0.0601302,0.0670241,0.1463041,0.1099196,0.5898124,0.0199157,0.0068939
18,34017010600.0,Census Tract 106,Hudson County,NJ,6457.0,21077.0,11.475917608796655,33684.0,57.7152600170503,612.0,173500.0,95.51196808510637,82.5465425531915,2000.0,34017010600,Census Tract 106,34017010600,2000,0.0154242,0.0246787,0.1239075,0.2143959,0.6215938,0.0,0.0
19,34017010600.0,Census Tract 106, Hudson County, New Jersey,6343.0,27689.0,20.1324294497872,43281.0,56.3283461382936,769.0,344500.0,33.9648639338615,83.8001273074475,2012.0,34017010600,Census Tract 106,34017010600,2012,0.0107969,0.018509,0.1264782,0.2226221,0.6215938,0.0,0.0
20,34017010600.0,Census Tract 106, Hudson County, New Jersey,7383.0,31582.0,20.15440877692,51404.0,41.6269841269841,969.0,323700.0,38.2254836557705,76.423544465771,2019.0,34017010600,Census Tract 106,34017010600,2019,0.0071979,0.0190231,0.1305913,0.2231362,0.6200514,0.0,0.0
21,34017010700.0,Census Tract 107,Hudson County,NJ,3856.0,19716.0,11.867047520124643,41289.0,65.61220692221809,569.0,165400.0,95.83596214511041,83.84858044164038,2000.0,34017010700,Census Tract 107,34017010700,2000,0.0,0.0163934,0.2857143,0.6955503,0.0,0.0023419,0.0
22,34017010700.0,Census Tract 107, Hudson County, New Jersey,3558.0,26130.0,16.2450815064643,52868.0,55.9557920589439,856.0,340700.0,38.6962552011096,74.9695493300853,2012.0,34017010700,Census Tract 107,34017010700,2012,0.0,0.0163934,0.2857143,0.6955503,0.0,0.0023419,0.0
23,34017010700.0,Census Tract 107, Hudson County, New Jersey,3723.0,26957.0,19.2586623690572,58906.0,47.8969957081545,1115.0,363100.0,35.032304379038,81.4767663908339,2019.0,34017010700,Census Tract 107,34017010700,2019,0.0,0.0163934,0.2857143,0.6955503,0.0,0.0023419,0.0
24,34017010800.0,Census Tract 108,Hudson County,NJ,3068.0,20830.0,8.87651490337373,43644.0,64.36567164179104,660.0,164800.0,94.83568075117371,81.06416275430361,2000.0,34017010800,Census Tract 108,34017010800,2000,0.0121918,0.0631507,0.3046575,0.3064384,0.3,0.0135617,0.0
25,34017010800.0,Census Tract 108, Hudson County, New Jersey,3210.0,31542.0,6.54351909830933,82667.0,54.0802823114248,1038.0,327200.0,52.4328859060403,81.2772133526851,2012.0,34017010800,Census Tract 108,34017010800,2012,0.0087671,0.0456164,0.3016438,0.3343835,0.3,0.0095891,0.0
